N,nsim,alpha,term,power_nb,power_nb_ci_low,power_nb_ci_high,power_ci_level,mean_completed,median_completed,mean_mu_true,rho_like_ment,b0_nb,alpha_nb,b_like,b_ment,b_int
50,10,0.05,Liking,0.9,0.5958499732047616,0.982123786904927,0.95,17.812,9.55,18.940210891590986,0.3,2.6,0.8,0.4,0.35,0.2
50,10,0.05,Robomentism,0.7,0.39677814746114537,0.8922087325936989,0.95,17.812,9.55,18.940210891590986,0.3,2.6,0.8,0.4,0.35,0.2
50,10,0.05,Liking x Robomentism,0.3,0.10779126740630104,0.6032218525388545,0.95,17.812,9.55,18.940210891590986,0.3,2.6,0.8,0.4,0.35,0.2
70,10,0.05,Liking,0.9,0.5958499732047616,0.982123786904927,0.95,19.037142857142857,10.35,18.502165854985652,0.3,2.6,0.8,0.4,0.35,0.2
70,10,0.05,Robomentism,0.9,0.5958499732047616,0.982123786904927,0.95,19.037142857142857,10.35,18.502165854985652,0.3,2.6,0.8,0.4,0.35,0.2
70,10,0.05,Liking x Robomentism,0.5,0.23659309051256405,0.763406909487436,0.95,19.037142857142857,10.35,18.502165854985652,0.3,2.6,0.8,0.4,0.35,0.2
90,10,0.05,Liking,1.0,0.7224672001371109,1.0,0.95,19.128888888888888,10.05,19.109878664872042,0.3,2.6,0.8,0.4,0.35,0.2
90,10,0.05,Robomentism,0.7,0.39677814746114537,0.8922087325936989,0.95,19.128888888888888,10.05,19.109878664872042,0.3,2.6,0.8,0.4,0.35,0.2
90,10,0.05,Liking x Robomentism,0.6,0.3126737697336583,0.8318196702937637,0.95,19.128888888888888,10.05,19.109878664872042,0.3,2.6,0.8,0.4,0.35,0.2
110,10,0.05,Liking,1.0,0.7224672001371109,1.0,0.95,18.855454545454542,9.9,19.16802799937644,0.3,2.6,0.8,0.4,0.35,0.2
110,10,0.05,Robomentism,1.0,0.7224672001371109,1.0,0.95,18.855454545454542,9.9,19.16802799937644,0.3,2.6,0.8,0.4,0.35,0.2
110,10,0.05,Liking x Robomentism,0.8,0.49016247153664183,0.9433178485456247,0.95,18.855454545454542,9.9,19.16802799937644,0.3,2.6,0.8,0.4,0.35,0.2
130,10,0.05,Liking,1.0,0.7224672001371109,1.0,0.95,19.603846153846153,10.3,19.19193926865104,0.3,2.6,0.8,0.4,0.35,0.2
130,10,0.05,Robomentism,1.0,0.7224672001371109,1.0,0.95,19.603846153846153,10.3,19.19193926865104,0.3,2.6,0.8,0.4,0.35,0.2
130,10,0.05,Liking x Robomentism,0.8,0.49016247153664183,0.9433178485456247,0.95,19.603846153846153,10.3,19.19193926865104,0.3,2.6,0.8,0.4,0.35,0.2
150,10,0.05,Liking,1.0,0.7224672001371109,1.0,0.95,19.201999999999998,9.3,18.251405105778193,0.3,2.6,0.8,0.4,0.35,0.2
150,10,0.05,Robomentism,1.0,0.7224672001371109,1.0,0.95,19.201999999999998,9.3,18.251405105778193,0.3,2.6,0.8,0.4,0.35,0.2
150,10,0.05,Liking x Robomentism,0.7,0.39677814746114537,0.8922087325936989,0.95,19.201999999999998,9.3,18.251405105778193,0.3,2.6,0.8,0.4,0.35,0.2
200,10,0.05,Liking,1.0,0.7224672001371109,1.0,0.95,18.9595,9.6,18.58661244965707,0.3,2.6,0.8,0.4,0.35,0.2
200,10,0.05,Robomentism,1.0,0.7224672001371109,1.0,0.95,18.9595,9.6,18.58661244965707,0.3,2.6,0.8,0.4,0.35,0.2
200,10,0.05,Liking x Robomentism,0.9,0.5958499732047616,0.982123786904927,0.95,18.9595,9.6,18.58661244965707,0.3,2.6,0.8,0.4,0.35,0.2
250,10,0.05,Liking,1.0,0.7224672001371109,1.0,0.95,18.1104,9.5,18.4649335520758,0.3,2.6,0.8,0.4,0.35,0.2
250,10,0.05,Robomentism,1.0,0.7224672001371109,1.0,0.95,18.1104,9.5,18.4649335520758,0.3,2.6,0.8,0.4,0.35,0.2
250,10,0.05,Liking x Robomentism,0.8,0.49016247153664183,0.9433178485456247,0.95,18.1104,9.5,18.4649335520758,0.3,2.6,0.8,0.4,0.35,0.2
300,10,0.05,Liking,1.0,0.7224672001371109,1.0,0.95,19.113999999999997,9.55,18.858852327761596,0.3,2.6,0.8,0.4,0.35,0.2
300,10,0.05,Robomentism,1.0,0.7224672001371109,1.0,0.95,19.113999999999997,9.55,18.858852327761596,0.3,2.6,0.8,0.4,0.35,0.2
300,10,0.05,Liking x Robomentism,1.0,0.7224672001371109,1.0,0.95,19.113999999999997,9.55,18.858852327761596,0.3,2.6,0.8,0.4,0.35,0.2
