N,nsim,alpha,term,power_nb,power_nb_ci_low,power_nb_ci_high,power_ci_level,mean_completed,median_completed,mean_mu_true,rho_like_ment,b0_nb,alpha_nb,b_like,b_ment,b_int
50,10000,0.05,LIKE,0.7746,0.7663058268607574,0.7826832812340669,0.95,15.299898,8.1774,15.279247925197499,0.3,2.4,0.8,0.4,0.35,0.2
50,10000,0.05,MENT,0.6699,0.6606195892105852,0.679049928143059,0.95,15.299898,8.1774,15.279247925197499,0.3,2.4,0.8,0.4,0.35,0.2
50,10000,0.05,LIKExMENT,0.283,0.2742558457354375,0.291910809557436,0.95,15.299898,8.1774,15.279247925197499,0.3,2.4,0.8,0.4,0.35,0.2
70,10000,0.05,LIKE,0.9019,0.8959148386076812,0.907576503501969,0.95,15.299448571428572,8.1427,15.272244517022196,0.3,2.4,0.8,0.4,0.35,0.2
70,10000,0.05,MENT,0.8206,0.8129572011700117,0.8279965790747104,0.95,15.299448571428572,8.1427,15.272244517022196,0.3,2.4,0.8,0.4,0.35,0.2
70,10000,0.05,LIKExMENT,0.3925,0.3829723867058941,0.4021101729438013,0.95,15.299448571428572,8.1427,15.272244517022196,0.3,2.4,0.8,0.4,0.35,0.2
90,10000,0.05,LIKE,0.958,0.9538894763930422,0.9617587810994178,0.95,15.267745555555555,8.14045,15.314311548829664,0.3,2.4,0.8,0.4,0.35,0.2
90,10000,0.05,MENT,0.9047,0.8987885827070341,0.91030060901174,0.95,15.267745555555555,8.14045,15.314311548829664,0.3,2.4,0.8,0.4,0.35,0.2
90,10000,0.05,LIKExMENT,0.494,0.48420507101166443,0.5037995369687835,0.95,15.267745555555555,8.14045,15.314311548829664,0.3,2.4,0.8,0.4,0.35,0.2
110,10000,0.05,LIKE,0.9836,0.9809185463637925,0.9859100504120891,0.95,15.33847181818182,8.11415,15.323957014448242,0.3,2.4,0.8,0.4,0.35,0.2
110,10000,0.05,MENT,0.9468,0.9422271408305386,0.9510297182254247,0.95,15.33847181818182,8.11415,15.323957014448242,0.3,2.4,0.8,0.4,0.35,0.2
110,10000,0.05,LIKExMENT,0.5877,0.5780202213344128,0.5973124253513706,0.95,15.33847181818182,8.11415,15.323957014448242,0.3,2.4,0.8,0.4,0.35,0.2
130,10000,0.05,LIKE,0.9932,0.9913891001630063,0.9946321238441581,0.95,15.341536153846153,8.11225,15.351916088297209,0.3,2.4,0.8,0.4,0.35,0.2
130,10000,0.05,MENT,0.9739,0.9705885041179604,0.9768475422263122,0.95,15.341536153846153,8.11225,15.351916088297209,0.3,2.4,0.8,0.4,0.35,0.2
