measure,subscale_1,subscale_2,n_complete,subscale_1_mean,subscale_1_sd,subscale_2_mean,subscale_2_sd,pearson_r,spearman_r,spearman_brown,spearman_brown_CI_low,spearman_brown_CI_high,alpha_two_subscales_raw,bootstrap_failed
GAToRS Positive,Personal Positive (S1),Societal Positive (S3),100,4.102,0.8964554217764111,5.062,0.8455205795869493,0.22345127122597755,0.24943496755238345,0.36528021422882645,0.020103300521031493,0.5967491552211015,0.3647699684125343,0
GAToRS Negative,Personal Negative (S2),Societal Negative (S4),100,3.53,1.1043989178267832,5.4559999999999995,0.76545622495557,0.5213430571970994,0.49328368977490356,0.6853721187088655,0.5211759780525148,0.796290319111142,0.6560699856101262,0
