measure,n_items,n_complete,alpha_raw,alpha_raw_CI_low,alpha_raw_CI_high,alpha_standardised,omega_total,omega_pearson,omega_CI_low,omega_CI_high,mean_interitem_r,mean_interitem_r_CI_low,mean_interitem_r_CI_high,min_interitem_r,max_interitem_r,mean_polychoric_r,min_polychoric_r,max_polychoric_r,suggested_n_factors_parallel_analysis,alpha_bootstrap_failed,omega_bootstrap_failed,mean_r_bootstrap_failed,notes
Fun,3,100,0.8676682016127351,0.8077739716657619,0.9093807541540438,0.8678189967231842,0.8906212167538384,0.869055819274582,0.8117960201678238,0.910150949757906,0.6863690875120999,0.5826714282204759,0.7707324053545633,0.6520793388866295,0.7390926644384388,0.7283618768497133,0.6981744621518021,0.7835285494812121,1,0,0,0,Omega point estimate uses polychoric correlations; its bootstrap CI is Pearson-based. Three indicators weakly identify dimensionality; alpha is scale-length sensitive.
IDAQ,15,100,0.8113643759166705,0.7241395890891527,0.8635168495130772,0.8123321444747177,0.8560941088889231,0.8141410925891994,0.7008127116811994,0.8683945899600639,0.22394644838414243,0.14966232946275185,0.2990485716358369,-0.10262776314685133,0.6545695411395486,0.28210572365824116,-0.164135517583991,0.7305268207678643,2,0,0,0,Omega point estimate uses polychoric correlations; its bootstrap CI is Pearson-based. Validated scoring retained; diagnostics are not scale revalidation.
GAToRS Personal Positive (S1),5,100,0.612433948888632,0.4392244490492393,0.7223356274628493,0.6304367908510105,0.6601302036794546,0.6399382650190304,0.5073651040700333,0.7417742205993086,0.2543875998209112,0.14793847192945067,0.35761823946393917,0.06658155271335028,0.48693695592695907,0.2681430147579006,0.04222954150481317,0.5111531849961927,1,0,0,0,Omega point estimate uses polychoric correlations; its bootstrap CI is Pearson-based.
GAToRS Personal Negative (S2),5,100,0.7680745341614907,0.6920859206970035,0.823774740521163,0.7686253034816232,0.800164072672115,0.778702625742331,0.7133143575931283,0.8318630494227074,0.3991824399167812,0.3115566011145253,0.4841908263944376,0.1993424304527319,0.6746651089259881,0.4292358032935595,0.21160715318611048,0.7243888326115441,1,0,0,0,Omega point estimate uses polychoric correlations; its bootstrap CI is Pearson-based.
GAToRS Societal Positive (S3),5,100,0.7382063875120801,0.6470580956322977,0.8022568994975395,0.7511135512420292,0.7995839642903261,0.7549211700731787,0.6737831931554886,0.8193225904599698,0.37639504596286577,0.2777563792968867,0.4699008566659911,0.14188966192056357,0.5470658094583128,0.4354634282187912,0.14151372529866618,0.6288038507815773,1,0,0,0,Omega point estimate uses polychoric correlations; its bootstrap CI is Pearson-based.
GAToRS Societal Negative (S4),5,100,0.5686786285651236,0.3916283970858001,0.6877537882483148,0.5825092763935558,0.6632660642297526,0.5850402063123082,0.4340009711228008,0.710364407894486,0.2181713002864914,0.11817057989070082,0.3187994338938118,0.06226167334653197,0.45657001806268793,0.28105677383160876,0.09657220290879873,0.5113143126798071,1,0,0,0,Omega point estimate uses polychoric correlations; its bootstrap CI is Pearson-based.
GAToRS Positive,10,100,0.6907812362523941,0.5736442063217309,0.7682182884878762,0.7220611000148626,0.7626284659546875,0.7311788003927613,0.5934418289576514,0.7988918839436753,0.20621773248816164,0.14239351965262564,0.27354457879511695,-0.242013248990281,0.5470658094583128,0.2342798729328514,-0.2492070857270364,0.6288038507815773,2,0,0,0,Omega point estimate uses polychoric correlations; its bootstrap CI is Pearson-based. Broad composite intentionally combines distinguishable validated subscales.
GAToRS Negative,10,100,0.7846081645534617,0.7076250077251773,0.8352015310176042,0.7750839691868576,0.8161513733743463,0.7812208604572459,0.6981424165734993,0.8344352703015375,0.25629013337313994,0.18662911989972022,0.32572382700128305,-0.03526655865537224,0.6746651089259881,0.29946108067766336,-0.041342239448925136,0.7243888326115441,2,0,0,0,Omega point estimate uses polychoric correlations; its bootstrap CI is Pearson-based. Broad composite intentionally combines distinguishable validated subscales.
