measure,basis,n_complete,observed_eigenvalues,parallel_95pct_eigenvalues,suggested_n_factors,method
Fun,Polychoric,100,"[2.4574398591716626, 0.3261751404994113, 0.21638500032892655]","[1.2798699331108752, 1.0562996485401672, 0.9434020513589516]",1,one-factor principal-axis/common-factor; parallel analysis against 1000 normal null datasets
IDAQ,Polychoric,100,"[5.240767405272489, 2.801494397645253, 1.4292734263160867, 0.9224324082147192, 0.8344001521206421, 0.7310900891232409, 0.6235282228060117, 0.5697949464306626, 0.40939984916420374, 0.393017284965987, 0.30368782791083015, 0.27124699628578763, 0.18279092576135006, 0.1599375644069644, 0.12713850357577733]","[1.895533086835622, 1.663461003561044, 1.5114706888065887, 1.3886005902870164, 1.2856025378624454, 1.1861597121076997, 1.0988615984915688, 1.0169639795320375, 0.94441846320349, 0.8694966143133448, 0.7980863766892112, 0.7293312534551057, 0.6603924745797115, 0.5906315552982476, 0.5105977477745027]",2,one-factor principal-axis/common-factor; parallel analysis against 1000 normal null datasets
GAToRS Personal Positive (S1),Polychoric,100,"[2.1189405003174926, 1.0906817886851516, 0.7590526173995211, 0.6176992410915605, 0.41362585250627376]","[1.416427841842357, 1.208094283124634, 1.0650371782608534, 0.9492506143742474, 0.8246861204244731]",1,one-factor principal-axis/common-factor; parallel analysis against 1000 normal null datasets
GAToRS Personal Negative (S2),Polychoric,100,"[2.754368438350201, 0.8193728993580918, 0.6505270587439955, 0.514592816377443, 0.2611387871702666]","[1.4357491463424172, 1.208373531976009, 1.0604950201333534, 0.9488061527692669, 0.8272696507534251]",1,one-factor principal-axis/common-factor; parallel analysis against 1000 normal null datasets
GAToRS Societal Positive (S3),Polychoric,100,"[2.7654320247068473, 0.9325838438174794, 0.6130536650114079, 0.39308803513052115, 0.2958424313337456]","[1.4322762865698677, 1.2069562730882848, 1.0627834126013243, 0.9493423133245612, 0.8271552106578552]",1,one-factor principal-axis/common-factor; parallel analysis against 1000 normal null datasets
GAToRS Societal Negative (S4),Polychoric,100,"[2.129435162229009, 1.1200913498809766, 0.6668960872968107, 0.6313055655527479, 0.4522718350404558]","[1.4350842698211872, 1.2079995461892354, 1.0615606085717362, 0.9488888897541717, 0.8313112179987964]",1,one-factor principal-axis/common-factor; parallel analysis against 1000 normal null datasets
GAToRS Positive,Polychoric,100,"[3.2998004894502575, 1.8663007185782714, 1.2657520213963993, 0.9601352830977259, 0.7225401074017265, 0.48298604690829183, 0.43951920139324396, 0.3700506191737498, 0.2991490830077225, 0.2937664295926131]","[1.6833814804291891, 1.463960007089764, 1.3138876855081187, 1.1982280394801224, 1.0931748382240147, 0.9955802041420997, 0.9115298734602352, 0.8258648281640186, 0.7312686060488047, 0.641664690410753]",2,one-factor principal-axis/common-factor; parallel analysis against 1000 normal null datasets
GAToRS Negative,Polychoric,100,"[3.8646136680665215, 1.4840477315354001, 0.8533661330312516, 0.7899926932769736, 0.7562228736415143, 0.6647215041930638, 0.5114041158016306, 0.4714565569680488, 0.39006714763609435, 0.21410757584950624]","[1.6864285646179347, 1.4676648499938267, 1.3245778518384212, 1.1971828216909348, 1.0879017509806055, 1.0005514253236127, 0.9066050699119297, 0.820201083915465, 0.7312051211787356, 0.6371787873566171]",2,one-factor principal-axis/common-factor; parallel analysis against 1000 normal null datasets
