participant_id,observed_count,predicted_count,raw_residual,pearson_residual,deviance_residual,liking,mentism,interaction,quadrant
1,15.0,25.154057207845277,-10.154057207845277,-0.439887908648571,-0.5162252969785897,7.0,-5.0,-4.317724791726516,high_liking__low_mentism
2,11.0,12.502555076536185,-1.5025550765361846,-0.12794080682525827,-0.13319032387726076,7.0,4.0,8.419563343866706,high_liking__higher_mentism
3,5.0,19.925303947348617,-14.925303947348617,-0.8112508555950431,-1.1932460470445365,7.0,-2.0,-0.07196207986210873,high_liking__low_mentism
4,67.0,25.154057207845277,41.84594279215472,1.8128245570693235,1.2817881589332096,7.0,-5.0,-4.317724791726516,high_liking__low_mentism
6,30.0,14.36772197428809,15.63227802571191,1.1651511294070143,0.9053734780521131,6.0,-0.0,0.8093938523412817,high_liking__higher_mentism
7,10.0,25.154057207845277,-15.154057207845277,-0.6564948765060609,-0.8632011444649783,7.0,-5.0,-4.317724791726516,high_liking__low_mentism
8,10.0,10.797854664237663,-0.7978546642376632,-0.07810489037712774,-0.08000759218764444,5.0,-5.0,1.7839701235277212,lower_liking__low_mentism
9,15.0,12.38055252745769,2.6194474725423103,0.22514030120377312,0.2115565448908447,5.0,1.0,-1.7245044527434639,lower_liking__higher_mentism
10,12.0,15.600510955076341,-3.6005109550763414,-0.24794035295282907,-0.26913700763158627,6.0,-3.0,-0.4363688595231258,high_liking__low_mentism
11,11.0,14.36772197428809,-3.3677219742880897,-0.25101300369764173,-0.2727847813192193,6.0,0.0,0.8093938523412817,high_liking__higher_mentism
12,11.0,13.600471893862558,-2.600471893862558,-0.20430100272069368,-0.2183076771936388,6.0,2.0,1.6399023269175534,high_liking__higher_mentism
13,17.0,21.534724401659254,-4.534724401659254,-0.22856301499700826,-0.2463479267634279,7.0,-3.0,-1.4872163171502446,high_liking__low_mentism
14,8.0,21.534724401659254,-13.534724401659254,-0.6821886276627734,-0.9117330218259054,7.0,-3.0,-1.4872163171502446,high_liking__low_mentism
15,10.0,7.074604962870362,2.925395037129638,0.42565670586416693,0.38100575251608987,4.0,-5.0,4.83481758115484,lower_liking__low_mentism
16,5.0,11.301558242403361,-6.301558242403361,-0.5907521745014072,-0.7478769620429367,5.0,-3.0,0.614478598103993,lower_liking__low_mentism
17,10.0,16.93907652827588,-6.93907652827588,-0.4413742622876154,-0.5183634025991022,6.0,-6.0,-1.682131571387533,high_liking__low_mentism
18,25.0,18.4361652366276,6.563834763372402,0.3846749790388932,0.3476680218857687,7.0,-1.0,1.343292157426027,high_liking__higher_mentism
19,3.0,7.074604962870362,-4.074604962870362,-0.5928713572628946,-0.7521778831807587,4.0,-5.0,4.83481758115484,lower_liking__low_mentism
20,10.0,12.874193700766584,-2.8741937007665843,-0.23798107030094126,-0.25739379982873284,6.0,4.0,2.470410801493825,high_liking__higher_mentism
21,29.0,15.17825530918501,13.82174469081499,0.9772742837298014,0.7838965913083189,6.0,-2.0,-0.021114622234989992,high_liking__low_mentism
