model,dataset,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_primary_only,primary,120,3.0,-443.6713523414287,897.3427046828574,911.2801633967676,0.9454677485711032
theory_plus_exploratory_plus_trivial,primary,120,8.0,-441.0394037632408,902.0788075264816,929.9537249543021,0.9053016364323643
theory_plus_exploratory,primary,120,6.0,-443.08968500283737,902.1793700056747,924.4793039479312,0.9357509105060289
intercept_only,primary,120,0.0,-453.0799357660096,910.1598715320192,915.7348550175833,1.1040675298188203
trivial_only,primary,120,2.0,-451.2764062264639,910.5528124529278,921.702779424056,1.0726578275333034
theory_primary_only,dfbetas_sensitivity,118,3.0,-421.96326172699577,853.9265234539915,867.7799465763198,0.8023748562021457
theory_plus_exploratory,dfbetas_sensitivity,118,6.0,-420.94384170514854,857.8876834102971,880.0531604060224,0.7872212625131099
theory_plus_exploratory_plus_trivial,dfbetas_sensitivity,118,8.0,-419.4347702032714,858.8695404065428,886.5763866511994,0.7667542049146548
intercept_only,dfbetas_sensitivity,118,0.0,-431.73591239560267,867.4718247912053,873.0131940401367,0.9568531994305935
trivial_only,dfbetas_sensitivity,118,2.0,-430.56393712571884,869.1278742514377,880.2106127493004,0.9379725308438336
