,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,2.435678047143945,11.423561801434051,1.2209877626611976,106.87884696465547,0.032763089203538966
like_c,0.2293986845598618,1.2578434218074062,1.0344477692480807,1.5294828031135994,0.021479544011895987
ment_c,0.03277605819964323,1.033319109987097,0.9805526882477006,1.0889250479468362,0.220348358174002
like_x_ment,-0.049054522408488364,0.9521292159052419,0.9100815728630207,0.996119546656043,0.03328069296864242
q_post_gators_pos,0.015589081558878498,1.0157112251676383,0.7429627830691062,1.388588118330531,0.922161871164303
q_post_gators_neg,-0.13838640272511735,0.8707621618596814,0.6951168103471405,1.0907903984481233,0.22861627025296993
q_pre_idaq,0.14412830030097515,1.15503229000929,0.9781958977521878,1.363836828624771,0.08914098268753069
q_pre_captcha_fun,0.10911801475558174,1.1152939637196648,0.9836902270231141,1.2645044052880412,0.08851612956696585
q_pre_captcha_difficulty,-0.0373037386881404,0.9633834740724364,0.8516174888640368,1.0898175885911754,0.553242261917299
alpha,0.5932042259552261,1.8097780726328299,1.519578956173847,2.155397492756468,2.8820856844354724e-11
