model,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_primary_only,84,3.0,-312.12833021056343,634.2566604211269,646.4107444153434,0.6081015233471058
theory_plus_exploratory,84,6.0,-310.25718938158394,636.5143787631679,655.9609131539144,0.5814601163894426
theory_plus_exploratory_plus_trivial,84,8.0,-309.69530197840675,639.3906039568135,663.6987719452467,0.5735255936155573
trivial_only,84,2.0,-321.9061558683546,651.8123117367091,661.5355789320824,0.7577016229744813
