,dataset,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,primary,3.084414692540407,21.854671395610616,2.373754781165358,201.2114585718232,0.006465321474473418
alpha,primary,,,,,8.031930112274512e-12
like_c,primary,0.21145124638184928,1.2354697305408933,0.9989158621809802,1.5280420632726341,0.05118078426073347
like_x_mentism,primary,-0.07395079067073114,0.9287173942768867,0.8841220943786622,0.9755620902547446,0.0032254253794436285
mentism_c,primary,0.031030095876026915,1.031516547813516,0.9757766663895884,1.0904404922389184,0.27360478053979076
q_post_gators_neg,primary,-0.17051143021723233,0.8432334512320039,0.6603692711492027,1.0767349183877826,0.17157350723753895
q_post_gators_pos,primary,-0.011810788663982734,0.9882586849188606,0.7212551464470621,1.354105039150995,0.9414087937566926
q_pre_captcha_difficulty,primary,-0.025462324864464647,0.9748591062228393,0.85349730798924,1.1134777674044805,0.7073876299382962
q_pre_captcha_fun,primary,0.09332551553030731,1.0978190342568597,0.9579954497194596,1.2580504764710503,0.17939719236973006
q_pre_idaq,primary,0.0790455805641873,1.0822536506780849,0.9086304320682403,1.2890531981632736,0.3756224802062109
