model,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_primary_only,98,3.0,-361.2517848548054,732.5035697096108,745.4284071029637,0.6384457444710442
theory_plus_exploratory,98,6.0,-359.1553897490926,734.3107794981852,754.9905193275498,0.6121689655376632
theory_plus_exploratory_plus_trivial,98,8.0,-357.4222981552196,734.8445963104392,760.6942710971449,0.5932042259552261
trivial_only,98,2.0,-369.64504309522687,747.2900861904537,757.629956105136,0.7529918182054041
