,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,2.338775874983155,10.368536406225179,1.0402413814869962,103.3476932570586,0.04619645281864724
like_c,0.22954816224488314,1.258031455383279,1.0278625708772795,1.5397419728816346,0.02597917089163507
ment_c,0.032464018855004606,1.0329967240703752,0.9787228489688264,1.0902802903440898,0.23842219461900283
like_x_ment,-0.04633543834343429,0.954721658221127,0.9115159712776295,0.999975286663272,0.04987786616562609
q_post_gators_pos,0.03625123799491877,1.0369163265470902,0.7513093692006514,1.431095514493392,0.8254613615554582
q_post_gators_neg,-0.12124966003063074,0.8858127799383922,0.7025324794868557,1.116908191455173,0.305290665234756
q_pre_idaq,0.11722928617096261,1.1243772042812203,0.9484545653931536,1.3329305837472631,0.17689957648131716
q_pre_captcha_fun,0.10944500993404423,1.115658719101745,0.9802038549915011,1.2698321590650534,0.09747784766237902
q_pre_captcha_difficulty,-0.030787898653318393,0.9696812219590819,0.8540492628288533,1.100968893885089,0.6346276579764993
alpha,0.6383632707652018,1.8933793924460405,1.5704404543797943,2.282726170063606,2.2242800742576308e-11
