model,dataset,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_primary_only,primary,99,3.0,-374.3572929473984,758.7145858947968,771.6901851454697,0.7297531744737795
theory_plus_exploratory,primary,99,6.0,-373.1263410431023,762.2526820862046,783.0136408872813,0.7124991596354807
theory_plus_exploratory_plus_trivial,primary,99,8.0,-372.1016670397826,764.2033340795653,790.1545325809111,0.6984212720376225
trivial_only,primary,99,2.0,-384.7409324985983,777.4818649971966,787.8623443977349,0.8913933008605534
