,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,6.933982350424337,1026.5740276546123,,,
like_c,-0.3186765768471519,0.7271106757088347,,,
ment_c,0.019624614278000756,1.0198184428817023,,,
like_x_ment,-0.056642947137839725,0.9449313996013494,,,
q_post_gators_pos,-0.6207990590415279,0.5375147599197526,,,
q_post_gators_neg,-0.6758094099917611,0.5087444710538731,,,
q_pre_idaq,0.13363403128998028,1.1429744502091266,,,
q_pre_captcha_fun,0.255829382723974,1.29153235140852,,,
q_pre_captcha_difficulty,0.03150529253325468,1.0320068375116989,,,
alpha,8.563881898211518e-09,1.0000000085638818,,,
