,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,2.643619281944013,14.06401323424699,1.5345010599933413,128.89953184778693,0.019346059542129625
like_c,0.26976554006561854,1.3096573525566024,1.0655438755194888,1.609696625837532,0.01037219032607888
ment_c,0.015486556235290563,1.0156070943837183,0.9628032301138368,1.0713069274192037,0.5697044026260905
like_x_ment,-0.05756802926837761,0.9440576646495996,0.9003275215440665,0.9899118408100712,0.017361135614900297
q_post_gators_pos,0.03092279155744775,1.0314058675715898,0.7516633216018449,1.4152587110331247,0.8480869416128485
q_post_gators_neg,-0.16588905909596552,0.8471402114772458,0.6631870527573039,1.0821178352592757,0.1841375659573794
q_pre_idaq,0.10118498610845955,1.1064813065037464,0.9300203496545115,1.3164237557780822,0.2536576069976676
q_pre_captcha_fun,0.13091838274641696,1.1398747440692802,0.9978969165798445,1.3020527577339651,0.053737736038850285
q_pre_captcha_difficulty,-0.040898512070454876,0.9599265459621056,0.8404932360698771,1.0963312185014775,0.5463069815418142
alpha,0.7097352293609727,2.033452788770075,1.6604526117048541,2.490242850057187,6.672721392851305e-12
