,dataset,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,dfbetas_sensitivity,2.972236783301909,19.535567593663508,2.7764925740674715,137.45342046692667,0.002828200261756188
alpha,dfbetas_sensitivity,,,,,4.943112819322887e-10
like_c,dfbetas_sensitivity,0.13309709319998264,1.1423609084226332,0.9374496086767345,1.3920624991611568,0.1869776922542694
like_x_mentism,dfbetas_sensitivity,-0.08795863282162214,0.9157987599504203,0.8717252734064044,0.9621005542829151,0.0004735497379060651
mentism_c,dfbetas_sensitivity,0.004707666208680161,1.0047187646783755,0.9559309143833796,1.055996600704131,0.8529445390792245
q_post_gators_neg,dfbetas_sensitivity,-0.1350511938675384,0.8736711839362884,0.7100910844002839,1.074934405471787,0.20167115978289574
q_post_gators_pos,dfbetas_sensitivity,-0.020449908071201298,0.9797577732019488,0.7522813316667383,1.276019028709448,0.8794154934780485
q_pre_captcha_difficulty,dfbetas_sensitivity,-0.04887916200932241,0.9522961963050475,0.8510659816629761,1.0655672592212517,0.39397641588172416
q_pre_captcha_fun,dfbetas_sensitivity,0.07729011761003234,1.0803554610755473,0.9482270952405487,1.2308949281602926,0.2455427640644544
q_pre_idaq,dfbetas_sensitivity,0.0760940936377892,1.079064102447433,0.9325378473440226,1.2486134911381594,0.30680886961016784
