,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,2.936753141109027,18.85452882695485,1.1599012642952524,306.4857917044058,0.03899612609839872
like_c,0.13904612862252866,1.1491771087380533,0.9134309162996397,1.445766728147772,0.23523152050885932
ment_c,-0.012423840302301451,0.9876530169848171,0.9252927403015458,1.054216076137501,0.7088889211115312
like_x_ment,-0.08245175522957744,0.9208558632648646,0.868837113699383,0.9759890634721181,0.005449888848139206
q_post_gators_pos,-0.02057751209496443,0.9796327601440292,0.6881098166138263,1.3946616100755191,0.9090963215044395
q_post_gators_neg,-0.1946826536011589,0.8230958231092969,0.6149370614398847,1.1017171943314414,0.19061743236651907
q_pre_idaq,0.14984049455328394,1.161648938617287,0.9582712365984982,1.4081902962887956,0.12703506817410462
q_pre_captcha_fun,0.0397836256194185,1.0405855937683357,0.8532903009365957,1.2689917801358663,0.6943644705859581
q_pre_captcha_difficulty,0.009450023324057262,1.0094948157798702,0.8664263558380387,1.1761874234547531,0.9035381742237097
alpha,0.4677208504151178,1.5963517195639751,1.3194985052553054,1.9312934439905183,1.4872735395558554e-06
