model,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_primary_only,100,3.0,-399.7769581755558,809.5539163511116,822.5797672810521,0.3145313160499683
theory_plus_exploratory,100,6.0,-398.0977645429344,812.1955290858688,833.0368905737735,0.3024919506648691
theory_plus_exploratory_plus_trivial,100,8.0,-397.7561262510642,815.5122525021284,841.5639543620093,0.300362793090069
trivial_only,100,2.0,-446.673394157895,901.34678831579,911.7674690597424,0.8140718505398646
