model,dataset,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_primary_only,primary,100,3.0,-377.7432003035101,765.4864006070202,778.5122515369607,0.7251266303082117
theory_plus_exploratory,primary,100,6.0,-376.44500198718805,768.8900039743761,789.7313654622808,0.7072596846680584
theory_plus_exploratory_plus_trivial,primary,100,8.0,-375.4253084016795,770.850616803359,796.90231866324,0.69350598204362
intercept_only,primary,100,0.0,-389.6167734806075,783.233546961215,788.4438873331911,0.9083195865108299
trivial_only,primary,100,2.0,-388.09426876420304,784.1885375284061,794.6092182723585,0.8835059249083999
