model,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_plus_exploratory,10,6.0,-23.317868904418916,62.63573780883783,65.0564185527902,2.7474662020846505e-09
theory_plus_exploratory_plus_trivial,10,8.0,-22.654035157359303,65.3080703147186,68.33392124465907,8.563881898211518e-09
trivial_only,10,2.0,-30.647036232627354,69.29407246525471,70.50441283723089,0.08848554117008425
theory_primary_only,10,3.0,-30.798654551031067,71.59730910206213,73.11023456703236,0.09437199838316626
