,dataset,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,dfbetas_sensitivity,3.5655091981597744,35.357452771153916,4.876089822029102,256.38360081401265,0.0004197373076705062
like_c,dfbetas_sensitivity,0.1841671029554566,1.2022167002759643,0.9845943362111567,1.467939578023799,0.07067156735158156
ment_c,dfbetas_sensitivity,-0.0010788736668117791,0.9989217081081433,0.9488590925245026,1.0516256700189899,0.9671952130433863
like_x_ment,dfbetas_sensitivity,-0.09049726080626502,0.9134768360875524,0.8677251627720443,0.9616408119395939,0.0005565559894017148
q_post_gators_pos,dfbetas_sensitivity,-0.07561562455469792,0.9271725204262553,0.7063431491786708,1.2170414389000115,0.5858978233614347
q_post_gators_neg,dfbetas_sensitivity,-0.16951984922777102,0.8440700001763949,0.6823098136921203,1.044179859208739,0.11836020639736862
q_pre_idaq,dfbetas_sensitivity,0.05176053703345066,1.0531235282323665,0.9059799463496443,1.2241652480115335,0.5002576570823738
q_pre_captcha_fun,dfbetas_sensitivity,0.08322060766803893,1.086781534444562,0.9490634864847147,1.2444837678714118,0.22868325952009594
q_pre_captcha_difficulty,dfbetas_sensitivity,-0.07260314107276432,0.9299698236283138,0.8261171138852081,1.046878049520047,0.2294813290643224
alpha,dfbetas_sensitivity,0.5536322172578237,1.7395600166519642,1.4657201906425164,2.064561210832245,2.3729115391384784e-10
