model,dataset,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_primary_only,dfbetas_sensitivity,98,3.0,-355.57804216572134,721.1560843314427,734.0809217247955,0.5884037635175261
theory_plus_exploratory,dfbetas_sensitivity,98,6.0,-353.8019713612339,723.6039427224678,744.2836825518324,0.5665082313461861
theory_plus_exploratory_plus_trivial,dfbetas_sensitivity,98,8.0,-352.4849533806502,724.9699067613004,750.8195815480061,0.5507327393168915
intercept_only,dfbetas_sensitivity,98,0.0,-368.2158564845284,740.4317129690568,745.601647926398,0.7668509627222084
trivial_only,dfbetas_sensitivity,98,2.0,-366.85308485962275,741.7061697192455,752.0460396339278,0.746768736496622
