,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,8.821503192873386,6778.446282999543,0.4234754118164302,108500594.67308046,0.07409949570756529
like_c,0.08741007481188325,1.0913441207048662,0.7258289143257588,1.6409266237395048,0.6744439543250382
ment_c,0.12654666996754055,1.1349024157990402,0.9984868617136807,1.2899553742509198,0.05277126708510705
like_x_ment,-0.13069960034692196,0.8774813298901528,0.7695106238514902,1.0006014997583585,0.051058480920260975
q_post_gators_pos,-0.28095982636659295,0.7550586683210556,0.29376317101129923,1.9407252129125376,0.5596747001667732
q_post_gators_neg,-1.2060606994605667,0.2993742849006735,0.0815109245732902,1.0995454036250532,0.06921761800501375
q_pre_idaq,-0.14907998563413113,0.8615002045029129,0.6536577524729182,1.1354299701192794,0.28991228591137685
q_pre_captcha_fun,0.4685439541028439,1.597666223463545,0.9443441887016591,2.7029735472885656,0.08072256073114861
q_pre_captcha_difficulty,-0.032611788589598435,0.967914242015252,0.7425181765382763,1.2617307016829176,0.8094681059306315
alpha,0.17120210977886052,1.1867305746393515,0.9771941626033406,1.4411971649850202,0.08412867250948339
