,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,1.9794692259268716,7.2388997450025,0.604461731320317,86.69145919914078,0.11815329609999253
like_c,0.16362622229245738,1.1777740071408076,0.9538433749492246,1.4542760880111545,0.12831940773177697
ment_c,0.04891742193727113,1.0501336291587249,0.9895828450433092,1.1143894062167288,0.10644639983276141
like_x_ment,-0.07314924031451898,0.9294621064573745,0.8844253500225725,0.9767922270863575,0.0038946785250939617
q_post_gators_pos,0.0917686835877677,1.0961112442331653,0.7801807126829577,1.5399763672735334,0.5967969456332184
q_post_gators_neg,-0.12299472656314336,0.8842683256817053,0.6860442270755135,1.1397668560482743,0.34223698261147606
q_pre_idaq,0.15913771540013627,1.1724994067876562,0.9770919904620048,1.4069861101485144,0.08711348678795318
q_pre_captcha_fun,0.07161161490772305,1.0742380449904585,0.9300884969401849,1.2407285770131795,0.3300038259553604
q_pre_captcha_difficulty,0.028761638626398335,1.0291792486564173,0.8998304197808058,1.1771217138035917,0.6746958163556704
alpha,0.5735255936155573,1.774512244999272,1.4796285502981454,2.1281650093990505,6.196934137767074e-10
