term,dataset,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,dfbetas_sensitivity,2.8346050982148743,17.02367629266487,9.019623439718096,32.130560267214186,2.203021670773243e-18
q_pre_captcha_fun,dfbetas_sensitivity,0.01953559227808835,1.0197276606452375,0.8898996514393923,1.1684963582164392,0.7785872354618294
q_pre_captcha_difficulty,dfbetas_sensitivity,-0.07358050261160738,0.929061350915876,0.8183629672495426,1.0547336919052346,0.25565265943176685
