participant_id,observed_count,predicted_count,raw_residual,pearson_residual,deviance_residual,liking,mentism,interaction,quadrant
1,15.0,24.17115938803473,-9.17115938803473,-0.3819473717253586,-0.44321226783269985,7.0,-5.0,-4.436249999999999,high_liking__low_mentism
2,11.0,17.79535210876571,-6.795352108765709,-0.3815440959226534,-0.44267870456519254,7.0,4.0,8.23875,high_liking__higher_mentism
3,5.0,21.8256498402525,-16.8256498402525,-0.774292956240741,-1.1686838503524177,7.0,-2.0,-0.21124999999999985,high_liking__low_mentism
4,67.0,24.17115938803473,42.82884061196527,1.783674496719202,1.2413068574906698,7.0,-5.0,-4.436249999999999,high_liking__low_mentism
6,30.0,17.537560717860075,12.462439282139925,0.7097317411625826,0.5913265351501775,6.0,-0.0,0.7554166666666665,high_liking__higher_mentism
7,10.0,24.17115938803473,-14.17115938803473,-0.5901802436911817,-0.7685243005865774,7.0,-5.0,-4.436249999999999,high_liking__low_mentism
8,10.0,10.49994999365715,-0.4999499936571503,-0.046674024002827844,-0.04740028396353228,5.0,-5.0,1.8637500000000002,lower_liking__low_mentism
9,15.0,16.217810565688623,-1.2178105656886231,-0.0748247204808246,-0.07672153503248783,5.0,1.0,-1.6862500000000005,lower_liking__higher_mentism
10,12.0,16.555148812236624,-4.555148812236624,-0.2743456882106352,-0.30344231494110196,6.0,-3.0,-0.4695833333333332,high_liking__low_mentism
11,11.0,17.537560717860075,-6.5375607178600745,-0.3723118922547091,-0.43008713259787673,6.0,0.0,0.7554166666666665,high_liking__higher_mentism
12,11.0,18.224680363373142,-7.2246803633731425,-0.3963558279299644,-0.4631427954848358,6.0,2.0,1.5720833333333328,high_liking__higher_mentism
13,17.0,22.581040496121798,-5.581040496121798,-0.24843219658942878,-0.27184474603010184,7.0,-3.0,-1.6195833333333332,high_liking__low_mentism
14,8.0,22.581040496121798,-14.581040496121798,-0.6490545842711799,-0.880266668931992,7.0,-3.0,-1.6195833333333332,high_liking__low_mentism
15,10.0,6.920414461746083,3.079585538253917,0.42623915236670196,0.37837592926350416,4.0,-5.0,5.01375,lower_liking__low_mentism
16,5.0,12.137303958264033,-7.137303958264033,-0.5800231482021808,-0.7506453379104733,5.0,-3.0,0.6804166666666668,lower_liking__low_mentism
17,10.0,15.627769255058752,-5.627769255058752,-0.3584227005935667,-0.41138053218565174,6.0,-6.0,-1.6945833333333329,high_liking__low_mentism
18,25.0,21.095528836730374,3.9044711632696263,0.18574851697595257,0.1756111161101132,7.0,-1.0,1.1970833333333333,high_liking__higher_mentism
19,3.0,6.920414461746083,-3.920414461746083,-0.5426165684776739,-0.6866717464776312,4.0,-5.0,5.01375,lower_liking__low_mentism
20,10.0,18.93872127888753,-8.938721278887531,-0.47239012988584483,-0.5738192912980057,6.0,4.0,2.388749999999999,high_liking__higher_mentism
21,29.0,16.876347337797824,12.123652662202176,0.7166911052738951,0.5962595147315065,6.0,-2.0,-0.06124999999999994,high_liking__low_mentism
22,15.0,18.578270689134087,-3.5782706891340865,-0.1926731728432129,-0.20622681348332084,6.0,3.0,1.980416666666666,high_liking__higher_mentism
23,10.0,6.102987405724306,3.8970125942756937,0.6062622633188711,0.5162583003105837,4.0,-6.0,6.605416666666668,lower_liking__low_mentism
24,28.0,18.224680363373142,9.775319636626858,0.5362873806151754,0.46400852350166855,6.0,2.0,1.5720833333333328,high_liking__higher_mentism
25,10.0,18.93872127888753,-8.938721278887531,-0.47239012988584483,-0.5738192912980057,6.0,4.0,2.388749999999999,high_liking__higher_mentism
26,11.0,17.20005435429889,-6.200054354298889,-0.3598187703490495,-0.4132417778382351,7.0,5.0,9.647083333333333,high_liking__higher_mentism
27,25.0,18.93872127888753,6.061278721112469,0.3203241440253272,0.29204153810632555,6.0,4.0,2.388749999999999,high_liking__higher_mentism
28,30.0,17.20005435429889,12.799945645701111,0.7428419880831286,0.6146943158945404,7.0,5.0,9.647083333333333,high_liking__higher_mentism
29,2.0,11.441701941548521,-9.441701941548521,-0.8119651419181496,-1.2783162623953992,4.0,-1.0,-1.352916666666667,lower_liking__higher_mentism
30,20.0,11.288980672301172,8.711019327698828,0.7588283366318119,0.6258359653667714,5.0,-4.0,1.2720833333333335,lower_liking__low_mentism
31,17.0,16.876347337797824,0.12365266220217563,0.007309741182212285,0.00729248639373629,6.0,-2.0,-0.06124999999999994,high_liking__low_mentism
