model,dataset,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_primary_only,dfbetas_sensitivity,97,3.0,-352.3072019050543,714.6144038101086,727.4879587026255,0.5925513912337727
theory_plus_exploratory,dfbetas_sensitivity,97,6.0,-350.6142060601945,717.228412120389,737.826099948416,0.5713189133627196
theory_plus_exploratory_plus_trivial,dfbetas_sensitivity,97,8.0,-349.1731327912182,718.3462655824364,744.0933753674702,0.5536322172578237
trivial_only,dfbetas_sensitivity,97,2.0,-363.63968314858334,735.2793662971667,745.5782102111802,0.7546491018759293
