model,n_obs,df_model,logLik,AIC,BIC,alpha_est
theory_primary_only,102,3.0,-384.2167110954112,778.4334221908224,791.5582862572437,0.7591166350219577
theory_plus_exploratory_plus_trivial,102,8.0,-380.55532243423255,781.1106448684651,807.3603730013078,0.7097352293609727
theory_plus_exploratory,102,6.0,-382.72939518339393,781.4587903667879,802.458572873062,0.7377571979523935
trivial_only,102,2.0,-393.6394259555784,795.2788519111568,805.7787431642939,0.9073709274744153
