model,n_obs,df_model,logLik,AIC,BIC,alpha_est
trivial_only,300,2.0,-506.40822607741984,1020.8164521548397,1035.6315820534644,0.30044049520689614
theory_plus_exploratory_plus_trivial,300,8.0,-503.7787725318133,1027.5575450636265,1064.5953698101885,0.28809294694838256
theory_primary_only,300,2.0,-557.1889716339606,1122.3779432679212,1137.193073166546,0.7446567546611451
theory_plus_exploratory,300,6.0,-553.4317342593656,1122.8634685187312,1152.493728315981,0.7099242382145022
