,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,0.9346116668420318,2.5462244823313447,1.051219119454895,6.167371763353572,0.03839345275324913
emp_c,-0.029247290624659673,0.971176271982201,0.8516100881738724,1.1075295658882298,0.6626031391440019
ment_c,-0.00027829214581529975,0.999721746573852,0.9479395550729607,1.0543325945458077,0.9918175729391848
emp_x_ment,0.011094886672720999,1.0111566631842681,0.9657871996036308,1.0586574329433673,0.6357200663080933
q_post_gators_pos,-0.05873531264073466,0.9429563247480377,0.8217667070775402,1.0820183182456755,0.4026803744674923
q_post_gators_neg,-0.1477120911668424,0.8626794522255605,0.7480407976495376,0.9948866955260154,0.04231273667460351
q_pre_idaq,0.012042751975443307,1.0121155578806296,0.9430727591484236,1.086213012269606,0.7383290884166129
q_pre_captcha_fun,0.32751958809638493,1.3875222299509589,1.2427860254626253,1.549114569333383,5.642845998816362e-09
q_pre_captcha_difficulty,-0.32863897958335,0.7199028694720678,0.6394504256184284,0.8104774361091324,5.470853607345964e-08
alpha,0.28809294694838256,1.3338812785561192,1.1583511929809303,1.5360102152644808,6.283140289612396e-05
