exp_sid,participant_number,dfbetas_exclude_flag,custom_exclude_flag,exclusion_reason
b09679120fe74756b97eb9314a75dec4,76,True,False,dfbetas_sensitivity
cc291a6ebaf34cdb8741a0b0fc736589,78,True,False,dfbetas_sensitivity
