param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
mu_,emp_x_ment,-0.0034460044160327112,0.9965599262428702,0.01695025932921494,-0.036667902229908046,0.029775893397842625,0.9639962231919813,1.0302236281639572,0.0,-0.2033009849054808,0.8388997857594777,0.2534296170269128
mu_,empathy,0.13697384786974526,1.1467981569134522,0.04860704949220537,0.04170578147026681,0.2322419142692237,1.0425876850049738,1.2614248485908568,0.0,2.8179831794092003,0.004832634146104317,7.692974504789805
mu_,mentacy,0.0110807401092338,1.0111423588935153,0.06818029018065998,-0.12255017310034966,0.14471165331881725,0.8846615176188691,1.1557062781487666,0.0,0.16252116381248496,0.8708954635116334,0.19942853717041711
mu_,Intercept,2.559227386830125,12.925826792623754,0.1937052292448185,2.1795721138932063,2.938882659767044,8.842521856880555,18.894722679469986,0.0,13.2119684987729,7.4841274694101e-40,129.9732896647726
sigma_,Intercept,-0.21579478012064052,0.8059006717429378,0.04335558421423232,-0.30077016370922915,-0.13081939653205188,0.7402478890255761,0.8773762172704803,0.0,-4.977323775741018,6.446943139237937e-07,20.564881404953194
