model,formula,n_obs,df_model,n_parameters_including_alpha,logLik,AIC,BIC,alpha_est,converged,nested_comparison_valid,nesting_explanation,LR_chi_square_B_vs_A,LR_df,LR_p
A_aggregate_positive,captcha_post_completions ~ like_c + mentism_c + like_x_mentism + q_post_gators_pos + q_post_gators_neg + q_pre_idaq,100,6.0,8,-376.44500198718805,768.8900039743761,789.7313654622808,0.7072596846680584,True,True,q_post_gators_pos=(personal_positive+societal_positive)/2; Model A is Model B constrained to equal subscale coefficients,3.069931832825773,1,0.07975281590250309
B_decomposed_positive,captcha_post_completions ~ like_c + mentism_c + like_x_mentism + gators_personal_positive + gators_societal_positive + q_post_gators_neg + q_pre_idaq,100,7.0,9,-374.91003607077516,767.8200721415503,791.2666038154432,0.6867675206861624,True,True,q_post_gators_pos=(personal_positive+societal_positive)/2; Model A is Model B constrained to equal subscale coefficients,3.069931832825773,1,0.07975281590250309
