model,term,b,SE,z,p,IRR,b_CI_low,b_CI_high,IRR_CI_low,IRR_CI_high,predictor_SD,b_per_1_SD,IRR_per_1_SD
A_aggregate_positive,q_post_gators_pos,-0.04926392595094281,0.15751147222882855,-0.3127640498424995,0.7544599301063479,0.9519298575484585,-0.3579807386713277,0.25945288676944206,0.6990865402124677,1.2962207131277672,0.681409709293309,-0.03356891746087904,0.9669882665589075
B_decomposed_positive,gators_personal_positive,-0.21066261863965452,0.13249813999439275,-1.5899288748398253,0.11185083815498294,0.8100473156494619,-0.47035420104721043,0.04902896376790139,0.6247809310260243,1.0502507695190313,0.8964554217764111,-0.18884964664513473,0.8279109765301216
B_decomposed_positive,gators_societal_positive,0.1326355694719955,0.11716054744034764,1.1320838999965153,0.2575991629347615,1.1418338034025644,-0.09699488392008229,0.3622660228640733,0.9075606492742072,1.4365810545393591,0.8455205795869493,0.11214610357380672,1.1186762913099455
