term,VIF,design_matrix,subscale_pearson_r
gators_personal_positive,1.4032378796513358,"Intercept, like_c, mentism_c, like_x_mentism, gators_personal_positive, gators_societal_positive, q_post_gators_neg, q_pre_idaq",0.22345127122597755
gators_societal_positive,1.0854488291341227,"Intercept, like_c, mentism_c, like_x_mentism, gators_personal_positive, gators_societal_positive, q_post_gators_neg, q_pre_idaq",0.22345127122597755
