,mentism,GAToRS_negative,GAToRS_positive,liking,empathy
mentism,1.0,-0.12157186391659291,0.21479036208040267,0.37550855683970913,0.387346443463179
GAToRS_negative,-0.12157186391659291,1.0,-0.2923195320313987,-0.19417114294428692,-0.2974582793697409
GAToRS_positive,0.21479036208040267,-0.2923195320313987,1.0,0.29360743490858243,0.2795466171929928
liking,0.37550855683970913,-0.19417114294428692,0.29360743490858243,1.0,0.6215746208501948
empathy,0.387346443463179,-0.2974582793697409,0.2795466171929928,0.6215746208501948,1.0
