"term","estimate","standard_error","z","p_value"
"(Intercept)",1.66770682055808,0.240863409889513,6.92386951311152,4.39470744630652e-12
"conditionexperimental",1.20302896282123,0.261338857531341,4.60332984610586,4.15788917041382e-06
