,count,mean,std,min,25%,50%,75%,max
age,12.0,19.5,3.118857599710626,17.0,18.0,18.0,20.0,28.0
captcha_post_attempts,12.0,29.583333333333332,26.26943724812797,2.0,9.25,19.5,44.5,76.0
captcha_post_completions,14.0,24.160714285714285,21.642996545084724,2.0,6.25,15.25,38.25,69.0
captcha_post_total_time,12.0,293.038,264.89678154158634,22.705,103.79849999999999,214.96050000000002,381.3945,813.464
captcha_post_mean_rt,12.0,10.159578732748802,2.1997845747699767,5.33621153846154,9.767985714285718,10.3038725868726,11.423239583333325,13.2106
q_pre_captcha_fun,12.0,2.9166666666666656,1.2643120059877806,1.0,2.2499999999999973,2.66666666666667,3.33333333333333,5.33333333333333
q_pre_captcha_difficulty,12.0,3.8333333333333335,1.5859229221975182,2.0,2.0,4.0,5.0,6.0
q_pre_idaq,12.0,3.866666666666666,1.3369647517697503,2.26666666666667,2.73333333333333,3.6,4.749999999999997,6.86666666666667
q_pre_2050_mean_futurism_score,12.0,4.927777777777778,1.2267912760599637,2.86666666666667,4.3166666666666655,4.83333333333333,5.566666666666665,7.4
q_post_gators_pos,12.0,4.608333333333333,0.9423937927459308,3.2,4.1,4.5,5.0,6.4
q_post_gators_neg,12.0,4.308333333333334,0.6287915297447859,3.2,4.075,4.300000000000001,4.725,5.3
q_post_specific_mentacy_belief_scale,12.0,-2.0833333333333335,4.14418175569586,-6.0,-5.0,-4.5,2.0,5.0
q_post_specific_likeability,14.0,7.928571428571429,7.258568260119429,4.0,5.0,5.5,6.0,30.0
