exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,dfbetas_exclude_flag,manual_exclude_flag,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
d4f017f131894c6480ae173727b7aa15,1,102,101,0.003591260869438118,0.30137334403474053,0.3072379122391665,0.005864568204425991,0.0648890734422029,0.03958796558046786,0.03826081181555759,-0.0013271537649102647,-0.05369103260806429,-0.05243942644203587,-0.05339780396659578,-0.0009583775245599127,-0.04129237865506206,False,False,False,False,False,False,,0.0648890734422029,0.0392156862745098,False
0991825287e24a6fa95fce328622b05f,2,102,101,0.005684614847125064,0.30137334403474053,0.3089227125308982,0.007549368496157671,0.08353070673126828,0.03958796558046786,0.040374681671902994,0.000786716091435137,0.0318272082974416,-0.05243942644203587,-0.05004436728249696,0.002395059159538908,0.10319283078176225,False,False,False,False,False,False,,0.10319283078176225,0.0392156862745098,False
dcb449585f9c4ccdb12eedf96ccd1d55,3,102,101,0.0059639737546353004,0.30137334403474053,0.3120790603401359,0.010705716305395352,0.11845441767868092,0.03958796558046786,0.03858943400802008,-0.0009985315724477736,-0.04039636750011413,-0.05243942644203587,-0.05225018535467394,0.0001892410873619299,0.008153587115925719,False,False,False,False,False,False,,0.11845441767868092,0.0392156862745098,False
f421afa804904223a83d5009309f4859,4,102,101,0.03188507454336749,0.30137334403474053,0.2838435402036711,-0.017529803831069446,-0.19396018403592086,0.03958796558046786,0.043484369397940065,0.0038964038174722077,0.1576320317580018,-0.05243942644203587,-0.04952478618780728,0.0029146402542285926,0.12557935253767483,False,False,False,False,False,False,,0.19396018403592086,0.0392156862745098,False
0955eb67041143128a2b1b26ee7d4ebe,6,102,101,0.0011747513468421027,0.30137334403474053,0.3002083829481746,-0.001164961086565941,-0.012889822893770013,0.03958796558046786,0.0390599274753878,-0.0005280381050800573,-0.021362190175507494,-0.05243942644203587,-0.05228072864625553,0.0001586977957803437,0.0068376076307661805,False,False,False,False,False,False,,0.021362190175507494,0.0392156862745098,False
ab2be3030cef4125adb5c3b6ab4f23ab,7,102,101,0.0067065328664100525,0.30137334403474053,0.30938669651025014,0.008013352475509605,0.08866450166086788,0.03958796558046786,0.03779539106823169,-0.0017925745122361683,-0.07251998911773774,-0.05243942644203587,-0.05377099412531727,-0.0013315676832814025,-0.0573715426059766,False,False,False,False,False,False,,0.08866450166086788,0.0392156862745098,False
1e53d11b72574a2aa0696ccbc1e987f7,8,102,101,6.149759442410027e-05,0.30137334403474053,0.3010918712204278,-0.0002814728143127332,-0.003114382761571134,0.03958796558046786,0.03936810238619497,-0.00021986319427289014,-0.008894735670525029,-0.05243942644203587,-0.05233829483753273,0.00010113160450313935,0.004357327253740861,False,False,False,False,False,False,,0.008894735670525029,0.0392156862745098,False
dc5266bf7db74dcd8b2a4b4ebed65967,9,102,101,0.00011585857260833194,0.30137334403474053,0.3001261729381542,-0.0012471710965863414,-0.013799443379362121,0.03958796558046786,0.03990549847988983,0.00031753289942196977,0.012846039176290115,-0.05243942644203587,-0.05271318631349109,-0.0002737598714552189,-0.011795139162806332,False,False,False,False,False,False,,0.013799443379362121,0.0392156862745098,False
a32acc2dcc1544d0b011d33223733a40,10,102,101,0.0005175676894308542,0.30137334403474053,0.30259261383515684,0.0012192698004163116,0.013490726830555792,0.03958796558046786,0.0391977281477809,-0.0003902374326869573,-0.015787357333608896,-0.05243942644203587,-0.05257380509287802,-0.0001343786508421485,-0.005789799939515889,False,False,False,False,False,False,,0.015787357333608896,0.0392156862745098,False
023f77ba0feb4f1cac3a22936b3d797c,11,102,101,0.0007268467092002463,0.30137334403474053,0.3022346093426291,0.0008612653078885479,0.009529552026460154,0.03958796558046786,0.03998648827556006,0.0003985226950922044,0.016122544035955,-0.05243942644203587,-0.05251651100309399,-7.708456105812167e-05,-0.0033212432492434004,False,False,False,False,False,False,,0.016122544035955,0.0392156862745098,False
