exp_sid,participant_number,exclude_flag,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,cooks_crosses_threshold,max_abs_dfbetas,cooks_distance,targeted_by
d4f017f131894c6480ae173727b7aa15,1,False,False,False,False,False,0.0635131147430338,0.003505055750113621,neither
0991825287e24a6fa95fce328622b05f,2,False,False,False,False,False,0.08377318325313536,0.003957136592178583,neither
dcb449585f9c4ccdb12eedf96ccd1d55,3,False,False,False,False,False,0.11608806491042374,0.005927282966634841,neither
f421afa804904223a83d5009309f4859,4,False,False,False,False,False,0.2023691542771866,0.03517774302357603,neither
0955eb67041143128a2b1b26ee7d4ebe,6,False,False,False,False,False,0.023638636823067802,0.0011148269518850339,neither
ab2be3030cef4125adb5c3b6ab4f23ab,7,False,False,False,False,False,0.08817915942035504,0.006721095896502856,neither
1e53d11b72574a2aa0696ccbc1e987f7,8,False,False,False,False,False,0.00778578402336723,5.377580370009082e-05,neither
dc5266bf7db74dcd8b2a4b4ebed65967,9,False,False,False,False,False,0.03598018275926431,0.0007310713677159129,neither
a32acc2dcc1544d0b011d33223733a40,10,False,False,False,False,False,0.014962792352692936,0.0005301687835506861,neither
023f77ba0feb4f1cac3a22936b3d797c,11,False,False,False,False,False,0.01989174336513946,0.0008243380346899108,neither
62a36f18c1e94e6eabff7e80742d4d98,12,False,False,False,False,False,0.049089263393250995,0.0014443473189704756,neither
4aaafe69bd1d423f9068c7ee2b7f1b24,13,False,False,False,False,False,0.04708291666623194,0.0011620268591527936,neither
673dcdd4a5344facb04c4a4576b0ba79,14,False,False,False,False,False,0.09781030853824799,0.004977732465470596,neither
47e09766c58f40a7b99fca6080d6a541,15,False,False,False,False,False,0.04864142833748925,0.0026614563258788226,neither
7fc17f54105c4f4281dc03dfedd3dac2,16,False,False,False,False,False,0.04253618392700894,0.0018450973256811864,neither
ee867f0d615e4e4699081702333a57f3,17,False,False,False,False,False,0.05381217501778931,0.0015411600915128366,neither
bcc8ff2711444f4fa1cb7a4c732c6b9a,18,False,False,False,False,False,0.012164037032799327,5.804152091742966e-05,neither
bea2011ad47945a9991b4962b7a26bbe,19,False,False,False,False,False,0.05786459187976446,0.0037730346085350346,neither
30211c3c23054047b300fe7d69b21ea6,20,False,False,False,False,False,0.08945002623567679,0.0032187467754626166,neither
121e88c44bb24c3fac7a01bf04bdb03f,21,False,False,False,False,False,0.014971889455125419,0.0011309545525673812,neither
8c78b31e3f02444ab89450f9a192abb9,22,False,False,False,False,False,0.03988347953171097,0.0007520038540303868,neither
93915b60073745b0bc6f3db0d177d998,24,False,False,False,False,False,0.036293222888663296,0.0007742115383597031,neither
9f2a4e88194e4080ad8aad6a59b6a1d1,25,False,False,False,False,False,0.08945002623567541,0.003218746775462559,neither
8b081f52ad9343fbbda7ef81e6dd3a04,26,False,False,False,False,False,0.09083135390705063,0.004357756894396136,neither
9cdcc1da3e10496c9a623f7b5284a5ba,27,False,False,False,False,False,0.023635594610922746,0.00021915062654940897,neither
6bba52ff679e449391b18a4f3cb3378a,28,False,False,False,False,False,0.18015899463281757,0.017466006313165888,neither
1f73ad75111d4a03a9da913787843eae,29,False,False,False,False,False,0.1959461059275447,0.013026287290986188,neither
b6d5b977f46a4cf597738d6c4b413a9d,30,False,False,False,False,False,0.03283572356271234,0.002226484187019838,neither
bbec2a47208a49b19e637fdbe08204c7,31,False,False,False,False,False,0.0017772034950155752,3.72991774790199e-05,neither
cef0e506fa7c47b2bb92964ece39c629,32,False,False,False,False,False,0.040815114912986256,0.0034307424783057163,neither
da6b1f80b3814716b99154d8a3760901,33,False,False,False,False,False,0.0794418033343218,0.0024479052772785346,neither
5edab9ad89db4ce29278fcd6967dc22f,35,False,False,False,False,False,0.030304859899039735,0.0023428951916208657,neither
cb2739d8df89442f92479d3a7e8b92dd,36,False,False,False,False,False,0.06444362044908832,0.004669351169748615,neither
af0dfcdcede944e5adbf92a4c0ba9b92,37,False,False,False,False,False,0.07249273653185033,0.0046430390622966555,neither
d48744259ced44b59415148e3901862e,38,False,False,False,False,False,0.08989510378631806,0.004755271325109109,neither
7d8eefccdb224f898923a6c601c8ab83,39,False,False,False,False,False,0.011867447264876683,0.0008461348121774786,neither
fc090a6ff748439ea823340006f8409b,40,False,False,False,False,False,0.05381217501778903,0.0015411600915127052,neither
7d6366e64e6c4cfdba0bab82b1604f44,41,False,False,False,False,False,0.01989174336513946,0.0008243380346899188,neither
37a96095f39f4370a745a7e32ebf11d5,42,False,False,False,False,False,0.007193911770868663,0.0005396504906331887,neither
907a2daa3fe54a0ca3ead9847e09b46a,43,False,False,False,False,False,0.18859600148080052,0.02057968221846604,neither
91783553ab0449c09f5bc3434e2eaa89,44,False,False,False,False,False,0.0735741607788726,0.0029376307690453826,neither
cac2c0de502348bfad795df71f2a1e71,45,False,False,False,False,False,0.05786459187976446,0.0037730346085350667,neither
dff5c0713e614e1fb873826cbbb41705,46,False,False,False,False,False,0.09073643016195368,0.004477020997187598,neither
b99a2b7b8dd84149960b13cb998f42d7,47,False,False,False,False,False,0.03598018275926461,0.0007310713677159268,neither
