exp_sid,participant_number,exclude_flag,cooks_crosses_threshold,max_abs_dfbetas,cooks_distance,targeted_by
d4f017f131894c6480ae173727b7aa15,1,False,False,0.0648890734422029,0.003591260869438118,neither
0991825287e24a6fa95fce328622b05f,2,False,False,0.10319283078176225,0.005684614847125064,neither
dcb449585f9c4ccdb12eedf96ccd1d55,3,False,False,0.11845441767868092,0.0059639737546353004,neither
f421afa804904223a83d5009309f4859,4,False,False,0.19396018403592086,0.03188507454336749,neither
0955eb67041143128a2b1b26ee7d4ebe,6,False,False,0.021362190175507494,0.0011747513468421027,neither
ab2be3030cef4125adb5c3b6ab4f23ab,7,False,False,0.08866450166086788,0.0067065328664100525,neither
1e53d11b72574a2aa0696ccbc1e987f7,8,False,False,0.008894735670525029,6.149759442410027e-05,neither
dc5266bf7db74dcd8b2a4b4ebed65967,9,False,False,0.013799443379362121,0.00011585857260833194,neither
a32acc2dcc1544d0b011d33223733a40,10,False,False,0.015787357333608896,0.0005175676894308542,neither
023f77ba0feb4f1cac3a22936b3d797c,11,False,False,0.016122544035955,0.0007268467092002463,neither
62a36f18c1e94e6eabff7e80742d4d98,12,False,False,0.041936846637214045,0.0012079469515018882,neither
4aaafe69bd1d423f9068c7ee2b7f1b24,13,False,False,0.05193065625563821,0.0013538215609491477,neither
673dcdd4a5344facb04c4a4576b0ba79,14,False,False,0.10023116685038899,0.005057115644482718,neither
47e09766c58f40a7b99fca6080d6a541,15,False,False,0.045362404536700436,0.002257528513315243,neither
7fc17f54105c4f4281dc03dfedd3dac2,16,False,False,0.03509385602852381,0.001542521682344431,neither
ee867f0d615e4e4699081702333a57f3,17,False,False,0.05443884125133517,0.0016009864314792581,neither
bcc8ff2711444f4fa1cb7a4c732c6b9a,18,False,False,0.0014800901474629937,1.3264444328762958e-06,neither
bea2011ad47945a9991b4962b7a26bbe,19,False,False,0.05554518351342012,0.003439215645306094,neither
30211c3c23054047b300fe7d69b21ea6,20,False,False,0.0775334238842995,0.0026551285051494753,neither
121e88c44bb24c3fac7a01bf04bdb03f,21,False,False,0.019106193101057857,0.00112372539221726,neither
8c78b31e3f02444ab89450f9a192abb9,22,False,False,0.031952589232996785,0.0005435297318859544,neither
2a7ca7b5779c412984f34e46d9bf2635,23,False,False,0.08516212699583187,0.006094026503755303,neither
93915b60073745b0bc6f3db0d177d998,24,False,False,0.037435478002194024,0.0009279239149374813,neither
9f2a4e88194e4080ad8aad6a59b6a1d1,25,False,False,0.07753342388430175,0.0026551285051495898,neither
8b081f52ad9343fbbda7ef81e6dd3a04,26,False,False,0.1158250623403024,0.006702161222360946,neither
9cdcc1da3e10496c9a623f7b5284a5ba,27,False,False,0.031030160950687186,0.0004086978327688411,neither
6bba52ff679e449391b18a4f3cb3378a,28,False,False,0.12898077097886354,0.008468645061398338,neither
1f73ad75111d4a03a9da913787843eae,29,False,False,0.16609322890387948,0.00958989640135907,neither
