exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
d4f017f131894c6480ae173727b7aa15,1,99,98,0.003505055750113621,0.23439069313776092,0.24025073079643489,0.005860037658673961,0.0635131147430338,0.050638179803989665,0.0492876944569664,-0.0013504853470232628,-0.05340274446218163,-0.0719810021435328,-0.07288004540392261,-0.0008990432603898091,-0.037687819744962825,False,False,False,False,False,False,False,,0.0635131147430338,0.04040404040404041,False
0991825287e24a6fa95fce328622b05f,2,99,98,0.003957136592178583,0.23439069313776092,0.240650006304224,0.006259313166463082,0.06784060077936618,0.050638179803989665,0.05125722740237765,0.0006190475983879826,0.024479229470729842,-0.0719810021435328,-0.06998259214489662,0.0019984099986361803,0.08377318325313536,False,False,False,False,False,False,False,,0.08377318325313536,0.04040404040404041,False
dcb449585f9c4ccdb12eedf96ccd1d55,3,99,98,0.005927282966634841,0.23439069313776092,0.2451015586786811,0.010710865540920184,0.11608806491042374,0.050638179803989665,0.049561853406570565,-0.0010763263974191,-0.04256157512998373,-0.0719810021435328,-0.0717652795370828,0.00021572260645000285,0.009043073970963522,False,False,False,False,False,False,False,,0.11608806491042374,0.04040404040404041,False
f421afa804904223a83d5009309f4859,4,99,98,0.03517774302357603,0.23439069313776092,0.21571910271401487,-0.018671590423746054,-0.2023691542771866,0.050638179803989665,0.05485855978698717,0.004220379982997506,0.16688805566243584,-0.0719810021435328,-0.06907761843964355,0.002903383703889248,0.12170960676040994,False,False,False,False,False,False,False,,0.2023691542771866,0.04040404040404041,False
0955eb67041143128a2b1b26ee7d4ebe,6,99,98,0.0011148269518850339,0.23439069313776092,0.23380500361126028,-0.000585689526500649,-0.006347905639372021,0.050638179803989665,0.05004038969086608,-0.0005977901131235877,-0.023638636823067802,-0.0719810021435328,-0.07168452387687532,0.0002964782666574767,0.01242834462408552,False,False,False,False,False,False,False,,0.023638636823067802,0.04040404040404041,False
ab2be3030cef4125adb5c3b6ab4f23ab,7,99,98,0.006721095896502856,0.23439069313776092,0.24252654345787408,0.008135850320113158,0.08817915942035504,0.050638179803989665,0.04878921721724382,-0.001848962586745842,-0.07311421538764884,-0.0719810021435328,-0.07324583375290679,-0.0012648316093739898,-0.05302163733606083,False,False,False,False,False,False,False,,0.08817915942035504,0.04040404040404041,False
1e53d11b72574a2aa0696ccbc1e987f7,8,99,98,5.377580370009082e-05,0.23439069313776092,0.23407229963376433,-0.0003183935039965946,-0.003450858907508843,0.050638179803989665,0.050441287540407755,-0.00019689226358191037,-0.00778578402336723,-0.0719810021435328,-0.07187823923322081,0.00010276291031198481,0.004307812772687535,False,False,False,False,False,False,False,,0.00778578402336723,0.04040404040404041,False
dc5266bf7db74dcd8b2a4b4ebed65967,9,99,98,0.0007310713677159129,0.23439069313776092,0.23107098150358404,-0.0033197116341768806,-0.03598018275926431,0.050638179803989665,0.05150714905551642,0.000868969251526755,0.0343619743724455,-0.0719810021435328,-0.07279938772768248,-0.0008183855841496779,-0.03430665657171616,False,False,False,False,False,False,False,,0.03598018275926431,0.04040404040404041,False
a32acc2dcc1544d0b011d33223733a40,10,99,98,0.0005301687835506861,0.23439069313776092,0.23542148869992255,0.0010307955621616238,0.011172118786519181,0.050638179803989665,0.05025979041545976,-0.0003783893885299025,-0.014962792352692936,-0.0719810021435328,-0.07213291739459839,-0.00015191525106558745,-0.0063682748660928955,False,False,False,False,False,False,False,,0.014962792352692936,0.04040404040404041,False
023f77ba0feb4f1cac3a22936b3d797c,11,99,98,0.0008243380346899108,0.23439069313776092,0.23477630221429063,0.0003856090765297082,0.004179364528030808,0.050638179803989665,0.051141215897207534,0.0005030360932178693,0.01989174336513946,-0.0719810021435328,-0.07219210601886371,-0.00021110387533090913,-0.008849457141233459,False,False,False,False,False,False,False,,0.01989174336513946,0.04040404040404041,False
