exp_sid,participant_number,exclude_flag,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,cooks_crosses_threshold,max_abs_dfbetas,cooks_distance,targeted_by
d14543fe53d641f3af028e703af3092c,51,False,False,False,False,False,0.46286023491742356,0.2452352074818375,neither
74dc6bcfe87f4248847e2a64f90bc1ca,52,False,False,False,False,False,0.09413412048884252,0.0036242079670536316,neither
5ff4662ff28f41589cdcda6c6aa93568,53,False,False,False,False,False,0.41135288118436814,0.11383461160336636,neither
df333f2e67a647d69bf090537633a167,54,False,False,False,False,False,0.03408014889647491,0.0010678594768516283,neither
7ef7153ef781485ab8ae506f38dfef3b,55,False,False,False,False,False,0.053783599842747803,0.0015739658379881432,neither
f582a4098ccc4e26a3e07ae72b71605f,56,False,False,False,False,False,0.303303277720515,0.051524413020130846,neither
4ffbdd7ec010402886737610a08d48fe,57,False,False,False,False,False,0.03761268350870298,0.0007858740048420144,neither
e6e25c421e8c4061a2f8ad2efd66a109,58,False,False,False,False,False,0.06108782084805305,0.0020547376434128205,neither
4fd8825c09d445c9a86d8dc79e00cd98,59,False,False,False,False,False,0.0794562723804338,0.00374335912247304,neither
2a8b5848f5ae4523afca35451eabe58b,60,False,False,False,False,False,0.03017291661542166,0.002012630630660094,neither
ab32926de2c04952b8c2e7e4119f53e2,61,False,False,False,False,False,0.09000890378928085,0.0045022198970816356,neither
cf14b27dd2a94c1291f10b2cbb05dd64,62,False,False,False,False,False,0.047960802928794434,0.004308565538143862,neither
32015503ad8c45578f32bc2dcda58aed,63,False,False,False,False,False,0.08479730877942647,0.0035749942595208637,neither
9e259b7e4e614530b3f3da2205837a46,64,False,False,False,False,False,0.04940819894271793,0.0013483933081528943,neither
eaf2b998190941bfad65f6b552861e4f,65,False,False,False,False,False,0.028609057594353317,0.0017274527715862903,neither
86e5152601e44bc79e68c7fd0560dde1,66,False,False,False,False,False,0.012522875047754548,0.0007215030169540418,neither
2691c893a7e44918a20165dac64aa688,67,False,False,False,False,False,0.08618342379451686,0.005489051018531543,neither
a4847afbee3440488223989d8a8cc3e4,68,False,False,False,False,False,0.05879233123413146,0.0018578094386627153,neither
7359e266ef9948aca580b49b20692727,69,False,False,False,False,False,0.03907249873304734,0.0008211921335104052,neither
8699d4cf905a4fa8bc11601c72ba7be4,70,False,False,False,False,False,0.03322648699601526,0.0005261688490785847,neither
856e3316894747d2b9c9ee1f0f216ce8,71,False,False,False,False,False,0.07714615361160186,0.003340470783129387,neither
18ae6b1aeb664685b0fd2c4e318f50d4,72,False,False,False,False,False,0.037541774525153594,0.0014408501834174117,neither
75489e519b9a42568ddcff822ad0a78d,73,False,False,False,False,False,0.02867065842320696,0.0005621554843310292,neither
9b45f7fbf159423e8d0647bc7bcac22c,74,False,False,False,False,False,0.08699458014222844,0.0063857528477286474,neither
179b8c2a95e646eca2510d2513c9d519,75,False,False,False,False,False,0.1588234400263423,0.009213127775329797,neither
b09679120fe74756b97eb9314a75dec4,76,False,True,False,False,True,1.5068549054869655,1.217102830814461,both
e53182617ce146a98d36d15c67820ab1,77,False,False,False,False,False,0.05861452511946445,0.0037790602239250693,neither
cc291a6ebaf34cdb8741a0b0fc736589,78,False,True,False,False,True,1.5743294114459228,1.0178094061038587,both
e995e3538f7a4c0aa006b00cdb863b1f,79,False,False,False,False,False,0.03829008083385954,0.0032068595655089832,neither
