exp_sid,participant_number,dfbetas_exclude_flag,custom_exclude_flag,exclusion_reason
2a7ca7b5779c412984f34e46d9bf2635,23,False,True,custom
17341d7a428142d89bf00c2b7dbcbcff,34,False,True,custom
51fdf791ec3446e99d9b0ed31790ea8e,98,False,True,custom
