exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,exclude_flag,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
d4f017f131894c6480ae173727b7aa15,1,99,98,0.0018783265302352353,0.23888451651824907,0.24339598930724765,0.004511472788998577,0.050312765558577985,0.05805440984513733,0.05713755455092143,-0.0009168552942159028,-0.03813166789592199,-0.037882458601102155,-0.03857758621263947,-0.0006951276115373176,-0.030770836982432426,False,False,False,False,0.050312765558577985,0.04040404040404041,False
0991825287e24a6fa95fce328622b05f,2,99,98,0.007673480514652787,0.23888451651824907,0.2475675253707381,0.008683008852489016,0.09683449489125909,0.05805440984513733,0.05880807084589518,0.0007536610007578479,0.03134447842348294,-0.037882458601102155,-0.03518910988968523,0.0026933487114169236,0.11922500668987655,False,False,False,False,0.11922500668987655,0.04040404040404041,False
dcb449585f9c4ccdb12eedf96ccd1d55,3,99,98,0.006863843051908173,0.23888451651824907,0.2505966476132535,0.011712131095004435,0.13061581739144015,0.05805440984513733,0.05695610713031178,-0.0010983027148255484,-0.04567799808227461,-0.037882458601102155,-0.03777842334389646,0.00010403525720569656,0.004605272307946668,False,False,False,False,0.13061581739144015,0.04040404040404041,False
f421afa804904223a83d5009309f4859,4,99,98,0.10749362923789456,0.23888451651824907,0.2045854720749707,-0.03429904444327839,-0.38250918550723784,0.05805440984513733,0.06482965758005765,0.006775247734920324,0.28178001280073584,-0.037882458601102155,-0.032477942226484084,0.005404516374618071,0.23923879525440422,False,False,False,False,0.38250918550723784,0.04040404040404041,True
0955eb67041143128a2b1b26ee7d4ebe,6,99,98,0.001868138688721265,0.23888451651824907,0.2370599785167795,-0.0018245380014695611,-0.020347579829032056,0.05805440984513733,0.057465089358203825,-0.0005893204869335048,-0.02450961807580482,-0.037882458601102155,-0.037707202789718834,0.0001752558113833208,0.007757953953769224,False,False,False,False,0.02450961807580482,0.04040404040404041,False
ab2be3030cef4125adb5c3b6ab4f23ab,7,99,98,0.005787265296487544,0.23888451651824907,0.24678461209072936,0.007900095572480281,0.08810330351494572,0.05805440984513733,0.05646976646258144,-0.0015846433825558864,-0.0659047240914579,-0.037882458601102155,-0.03912962782942817,-0.0012471692283260172,-0.05520776383699398,False,False,False,False,0.08810330351494572,0.04040404040404041,False
1e53d11b72574a2aa0696ccbc1e987f7,8,99,98,1.3367272109073136e-05,0.23888451651824907,0.23876457194363232,-0.00011994457461675379,-0.0013376437241142364,0.05805440984513733,0.05795250086180077,-0.00010190898333656273,-0.004238356404457633,-0.037882458601102155,-0.03782437188975447,5.808671134768795e-05,0.0025712929483155183,False,False,False,False,0.004238356404457633,0.04040404040404041,False
dc5266bf7db74dcd8b2a4b4ebed65967,9,99,98,0.00010995182564633595,0.23888451651824907,0.2377259787275979,-0.0011585377906511707,-0.012920224276632256,0.05805440984513733,0.05836485017742273,0.0003104403322854027,0.012911097014856855,-0.037882458601102155,-0.03814262354243684,-0.00026016494133468404,-0.011516580359466684,False,False,False,False,0.012920224276632256,0.04040404040404041,False
a32acc2dcc1544d0b011d33223733a40,10,99,98,0.00034999174751617636,0.23888451651824907,0.24007351402128901,0.0011889975030399402,0.013259916532370776,0.05805440984513733,0.05773454868642612,-0.0003198611587112085,-0.013302905653406702,-0.037882458601102155,-0.037998706377886174,-0.00011624777678401893,-0.005145877288747589,False,False,False,False,0.013302905653406702,0.04040404040404041,False
023f77ba0feb4f1cac3a22936b3d797c,11,99,98,0.0007294977122946954,0.23888451651824907,0.24000480449415768,0.0011202879759086015,0.012493655381770519,0.05805440984513733,0.058409490174403854,0.00035508032926652444,0.014767657750774096,-0.037882458601102155,-0.037956844534866065,-7.438593376390967e-05,-0.003292801787247666,False,False,False,False,0.014767657750774096,0.04040404040404041,False
62a36f18c1e94e6eabff7e80742d4d98,12,99,98,0.0013672287888629828,0.23888451651824907,0.2396017618307624,0.000717245312513326,0.007998850252288057,0.05805440984513733,0.059087525246597224,0.0010331154014598942,0.04296688216249111,-0.037882458601102155,-0.03787776974958678,4.688851515374792e-06,0.00020755884706600148,False,False,False,False,0.04296688216249111,0.04040404040404041,False
4aaafe69bd1d423f9068c7ee2b7f1b24,13,99,98,0.0006126954565714954,0.23888451651824907,0.24214571335834575,0.0032611968400966806,0.03636946064626067,0.05805440984513733,0.057617921137222645,-0.00043648870791468397,-0.018153401693292135,-0.037882458601102155,-0.03799651641207768,-0.00011405781097552359,-0.005048935260015225,False,False,False,False,0.03636946064626067,0.04040404040404041,False
673dcdd4a5344facb04c4a4576b0ba79,14,99,98,0.005214446730608047,0.23888451651824907,0.248356623041134,0.009472106522884938,0.1056346557146302,0.05805440984513733,0.05683252050983128,-0.0012218893353060506,-0.05081791928714922,-0.037882458601102155,-0.03829894465004924,-0.00041648604894708313,-0.018436362050509726,False,False,False,False,0.1056346557146302,0.04040404040404041,False
47e09766c58f40a7b99fca6080d6a541,15,99,98,0.0018640844459250723,0.23888451651824907,0.24269870327648452,0.003814186758235444,0.04253650484863713,0.05805440984513733,0.05877708595639332,0.000722676111255989,0.030055828487412988,-0.037882458601102155,-0.03865662875267031,-0.0007741701515681584,-0.034269770233821224,False,False,False,False,0.04253650484863713,0.04040404040404041,False
7fc17f54105c4f4281dc03dfedd3dac2,16,99,98,0.001615775793053967,0.23888451651824907,0.23583464253721165,-0.0030498739810374265,-0.03401274966466197,0.05805440984513733,0.05778245835640448,-0.00027195148873285224,-0.01131036044355409,-0.037882458601102155,-0.038138402397355484,-0.0002559437962533287,-0.011329725219458181,False,False,False,False,0.03401274966466197,0.04040404040404041,False
ee867f0d615e4e4699081702333a57f3,17,99,98,0.0009686001007949892,0.23888451651824907,0.24083609147492746,0.0019515749566783869,0.02176431907220856,0.05805440984513733,0.057049795351280165,-0.0010046144938571644,-0.041781540102194585,-0.037882458601102155,-0.038119423748597114,-0.0002369651474949594,-0.010489607667805906,False,False,False,False,0.041781540102194585,0.04040404040404041,False
bcc8ff2711444f4fa1cb7a4c732c6b9a,18,99,98,0.000252239592628372,0.23888451651824907,0.23656677497283013,-0.0023177415454189443,-0.025847875506287653,0.05805440984513733,0.058182384834485915,0.00012797498934858514,0.005322431820604479,-0.037882458601102155,-0.03799968732345977,-0.00011722872235761517,-0.005189300274445156,False,False,False,False,0.025847875506287653,0.04040404040404041,False
bea2011ad47945a9991b4962b7a26bbe,19,99,98,0.0043065376676254446,0.23888451651824907,0.23313638001642772,-0.005748136501821349,-0.06410426433693232,0.05805440984513733,0.05694979027134582,-0.0011046195737915085,-0.04594071387805497,-0.037882458601102155,-0.03667782068256304,0.0012046379185391143,0.053325053413208916,False,False,False,False,0.06410426433693232,0.04040404040404041,False
30211c3c23054047b300fe7d69b21ea6,20,99,98,0.0032886867738138423,0.23888451651824907,0.23910172366294905,0.00021720714469997127,0.002422333605909559,0.05805440984513733,0.06007769433106758,0.0020232844859302476,0.08414764310484064,-0.037882458601102155,-0.037774129262968276,0.0001083293381338793,0.004795356059530444,False,False,False,False,0.08414764310484064,0.04040404040404041,False
121e88c44bb24c3fac7a01bf04bdb03f,21,99,98,0.0022898241902131766,0.23888451651824907,0.23598763478505896,-0.0028968817331901098,-0.03230655227453418,0.05805440984513733,0.05838836788268546,0.0003339580375481335,0.013889189558369458,-0.037882458601102155,-0.03754602736343668,0.0003364312376654757,0.014892619136661322,False,False,False,False,0.03230655227453418,0.04040404040404041,False
8c78b31e3f02444ab89450f9a192abb9,22,99,98,0.000674228590378478,0.23888451651824907,0.23914317143653413,0.00025865491828505616,0.002884566719760233,0.05805440984513733,0.05888692849400452,0.0008325186488671935,0.03462413843933159,-0.037882458601102155,-0.037835022541574406,4.743605952774871e-05,0.002099826320507131,False,False,False,False,0.03462413843933159,0.04040404040404041,False
2a7ca7b5779c412984f34e46d9bf2635,23,99,98,0.005222161352787091,0.23888451651824907,0.24320790022413485,0.0043233837058857805,0.04821516187450864,0.05805440984513733,0.05970032269310565,0.00164591284796832,0.06845289818393081,-0.037882458601102155,-0.039696286909190824,-0.0018138283080886691,-0.08029175399734695,False,False,False,False,0.08029175399734695,0.04040404040404041,False
93915b60073745b0bc6f3db0d177d998,24,99,98,0.0011569120367488624,0.23888451651824907,0.2381917284846077,-0.0006927880336413672,-0.0077260982274756085,0.05805440984513733,0.057088956412447774,-0.0009654534326895559,-0.04015284625234101,-0.037882458601102155,-0.03784067620974184,4.178239136031631e-05,0.0018495584579659085,False,False,False,False,0.04015284625234101,0.04040404040404041,False
9f2a4e88194e4080ad8aad6a59b6a1d1,25,99,98,0.0032886867738137777,0.23888451651824907,0.23910172366294902,0.0002172071446999435,0.0024223336059092495,0.05805440984513733,0.06007769433106755,0.00202328448593022,0.08414764310483949,-0.037882458601102155,-0.037774129262968276,0.0001083293381338793,0.004795356059530444,False,False,False,False,0.08414764310483949,0.04040404040404041,False
8b081f52ad9343fbbda7ef81e6dd3a04,26,99,98,0.0098598520564414,0.23888451651824907,0.24784070171750777,0.008956185199258698,0.09988100722414688,0.05805440984513733,0.059073015271480254,0.001018605426342925,0.04236341773813881,-0.037882458601102155,-0.03471377619036216,0.0031686824107399966,0.14026634576397778,False,False,False,False,0.14026634576397778,0.04040404040404041,False
9cdcc1da3e10496c9a623f7b5284a5ba,27,99,98,0.00029710963154710865,0.23888451651824907,0.23879138886605156,-9.312765219751662e-05,-0.0010385765250452718,0.05805440984513733,0.057434027080146534,-0.0006203827649907956,-0.025801486572877036,-0.037882458601102155,-0.03787950852388988,2.9500772122728613e-06,0.0001305894680023995,False,False,False,False,0.025801486572877036,0.04040404040404041,False
6bba52ff679e449391b18a4f3cb3378a,28,99,98,0.005404254108131742,0.23888451651824907,0.23217778119437157,-0.0067067353238775,-0.07479473285010844,0.05805440984513733,0.05728659980165701,-0.0007678100434803173,-0.03193293180488575,-0.037882458601102155,-0.04021052643363631,-0.002328067832534156,-0.103055316131846,False,False,False,False,0.103055316131846,0.04040404040404041,False
1f73ad75111d4a03a9da913787843eae,29,99,98,0.011119270392010161,0.23888451651824907,0.2229362642427268,-0.015948252275522268,-0.17785781170266587,0.05805440984513733,0.06011368580564708,0.0020592759605097474,0.0856445150369853,-0.037882458601102155,-0.040317063986012654,-0.0024346053849104987,-0.10777135618300977,False,False,False,False,0.17785781170266587,0.04040404040404041,False
b6d5b977f46a4cf597738d6c4b413a9d,30,99,98,0.0031175770308233377,0.23888451651824907,0.24178993338089957,0.0029054168626505006,0.032401737591533086,0.05805440984513733,0.059091309948072074,0.0010369001029347444,0.04312428647769181,-0.037882458601102155,-0.037968700520549896,-8.624191944774096e-05,-0.0038176242755047596,False,False,False,False,0.04312428647769181,0.04040404040404041,False
bbec2a47208a49b19e637fdbe08204c7,31,99,98,8.393614237431753e-07,0.23888451651824907,0.23883975379625647,-4.4762721992608334e-05,-0.000499202021758801,0.05805440984513733,0.058041784582688424,-1.2625262448905106e-05,-0.0005250799311926513,-0.037882458601102155,-0.03784928948714425,3.316911395790517e-05,0.0014682791785427898,False,False,False,False,0.0014682791785427898,0.04040404040404041,False
cef0e506fa7c47b2bb92964ece39c629,32,99,98,0.003404345780999737,0.23888451651824907,0.2358488404324009,-0.003035676085848177,-0.03385441215372233,0.05805440984513733,0.056972944070619,-0.0010814657745183281,-0.04497775604819502,-0.037882458601102155,-0.03780101041198126,8.144818912089735e-05,0.0036054228149717416,False,False,False,False,0.04497775604819502,0.04040404040404041,False
da6b1f80b3814716b99154d8a3760901,33,99,98,0.0021567476830676967,0.23888451651824907,0.2323259036417456,-0.006558612876503472,-0.07314284436108433,0.05805440984513733,0.058145231824116364,9.08219789790346e-05,0.0037772520504892634,-0.037882458601102155,-0.038025036680606465,-0.00014257807950431023,-0.006311426519215304,False,False,False,False,0.07314284436108433,0.04040404040404041,False
17341d7a428142d89bf00c2b7dbcbcff,34,99,98,0.011518466273355375,0.23888451651824907,0.22811124309566225,-0.010773273422586827,-0.12014550577160557,0.05805440984513733,0.06193309051047365,0.003878680665336323,0.16131287449392262,-0.037882458601102155,-0.04102458876550637,-0.0031421301644042124,-0.1390909718758526,False,False,False,False,0.16131287449392262,0.04040404040404041,False
5edab9ad89db4ce29278fcd6967dc22f,35,99,98,0.002467218218001303,0.23888451651824907,0.24209948990510768,0.0032149733868586106,0.03585396828382283,0.05805440984513733,0.0572467122167715,-0.0008076976283658277,-0.03359184150374442,-0.037882458601102155,-0.03826947508238866,-0.0003870164812865076,-0.017131848681488343,False,False,False,False,0.03585396828382283,0.04040404040404041,False
cb2739d8df89442f92479d3a7e8b92dd,36,99,98,0.003506113661076242,0.23888451651824907,0.24410496835438858,0.005220451836139506,0.05821942891510539,0.05805440984513733,0.059046583580862066,0.000992173735724737,0.04126413363634121,-0.037882458601102155,-0.03895195084626027,-0.0010694922451581143,-0.04734263318494187,False,False,False,False,0.05821942891510539,0.04040404040404041,False
