model,n,log_likelihood,AIC
M2_add_task_appraisal,266,-1126.5730856019845,2267.146171203969
M1_primary,266,-1138.659169724333,2287.318339448666
M3_exploratory_traits,266,-1137.7019588435319,2291.4039176870638
