model,term,coefficient,SE,z,p_value,IRR,CI_low_coefficient,CI_high_coefficient,CI_low_IRR,CI_high_IRR
primary,Intercept,2.8606859869954473,0.0941348165000113,30.38924484433561,7.619515224625849e-203,17.47350942642535,2.6761851369641385,3.045186837026756,14.52955915750744,21.013957021374218
primary,like_c,0.23291715648998476,0.09136378528992685,2.5493378558130364,0.010792768579666785,1.2622769035463077,0.053847427830477745,0.4119868851494918,1.0553235768637332,1.509814635205665
primary,mentism_c,0.04983475260711048,0.025099473739454932,1.985489939925438,0.047089988283774996,1.05109739092071,0.0006406880468699458,0.09902881716735101,1.0006408933312954,1.1040981160806318
primary,like_x_mentism,-0.06980909765707792,0.02351128969827574,-2.9691734716789075,0.002986019751953771,0.932571833061718,-0.11589037869578597,-0.023727816618369875,0.8905728437033611,0.976551474670584
primary_plus_linear_difficulty,Intercept,2.8594163780640103,0.09409397104626327,30.38894358766215,7.689667604906297e-203,17.451338979670677,2.6749955836509796,3.043837172477041,14.512285748130441,20.985614359378705
primary_plus_linear_difficulty,like_c,0.22802144930736776,0.09235179516620612,2.469052701108799,0.013547126536268472,1.2561122678815169,0.0470152568739835,0.409027641740752,1.048138000267055,1.5053533304969724
primary_plus_linear_difficulty,mentism_c,0.050369090885575556,0.025143495051898692,2.0032652891576412,0.0451488210981641,1.0516591825710986,0.0010887461383930624,0.09964943563275805,1.0010893390376228,1.1047835524343208
primary_plus_linear_difficulty,like_x_mentism,-0.06929623941240026,0.023527811644743782,-2.9452904697951947,0.0032265160062115174,0.9330502328802176,-0.11540990287114017,-0.023182575953660356,0.8910008452388081,0.9770840754303579
primary_plus_linear_difficulty,difficulty_c,-0.025444769027834668,0.06805282133494352,-0.3738973422218629,0.7084806938804727,0.9748762208402757,-0.15882584789066295,0.10793630983499362,0.8531449230202988,1.1139767937612233
primary_plus_high_difficulty,Intercept,2.874813101452801,0.10323105298431251,27.848336506745422,1.128278269155927e-170,17.722111575009553,2.6724839555174023,3.0771422473881995,14.475882018415845,21.69631102806252
primary_plus_high_difficulty,like_c,0.22751759035205057,0.09298489569414649,2.4468230958759154,0.014412155799869774,1.2554795238867116,0.045270543685309916,0.40976463701879123,1.0463108944257478,1.5064631777191746
primary_plus_high_difficulty,mentism_c,0.0501146434109277,0.02513267884441801,1.9940032545340152,0.04615169885188833,1.051391624589073,0.0008554980408566615,0.09937378878099874,1.000855864083681,1.1044790642937434
primary_plus_high_difficulty,like_x_mentism,-0.07010448771501476,0.023567254510822838,-2.9746565380715237,0.0029331675780677672,0.932296401295825,-0.11629545777071665,-0.02391351765931287,0.8902121643364395,0.9763701448822896
primary_plus_high_difficulty,high_difficulty,-0.08312855195640897,0.2427645929429614,-0.3424245313069208,0.7320314297968763,0.9202328418839204,-0.5589384108461399,0.3926813069333219,0.5718157751776876,1.4809463467820745
primary_plus_difficulty_hinge,Intercept,2.8726433183577798,0.10161603434272094,28.269586949921706,8.177429715297967e-176,17.683700124234253,2.6734795507942613,3.0718070859212983,14.490301314882432,21.58086593842371
primary_plus_difficulty_hinge,like_c,0.22804359950117659,0.09284939844953441,2.456058987017811,0.014047009809708171,1.2561400913198422,0.04606212255388001,0.4100250764484732,1.047139459913931,1.5068555712251692
primary_plus_difficulty_hinge,mentism_c,0.049837974581377814,0.025080919904539638,1.9870871870356381,0.04691273588440136,1.0511007775349117,0.0006802748693463534,0.09899567429340927,1.0006805063087731,1.1040615237023428
primary_plus_difficulty_hinge,like_x_mentism,-0.06975877055713683,0.023532957851263483,-2.9643010027909216,0.0030337138420752415,0.9326187678785994,-0.11588252039531236,-0.023635020718961307,0.8905798421198583,0.9766420988477058
primary_plus_difficulty_hinge,difficulty_hinge,-0.05390611810145439,0.1682466385958525,-0.32039937648289657,0.7486655981496018,0.9475210574020742,-0.38366347026925196,0.27585123406634315,0.6813606867295036,1.3176518277415157
supplementary_quadratic,Intercept,2.8578128302863375,0.12217738769629383,23.390685331971845,5.3162459625568435e-121,17.42337734872962,2.6183495506764145,3.0972761098962605,13.713072167028614,22.13756877661088
supplementary_quadratic,like_c,0.2281492978485332,0.09253967365011166,2.465421465728909,0.013685217168356625,1.2562728702686772,0.046774870353224085,0.4095237253438423,1.0478860723011518,1.5061002968646537
supplementary_quadratic,mentism_c,0.05038806067077906,0.025162327810516458,2.0025198403829574,0.045228851439000316,1.0516791325091215,0.001070804394976213,0.09970531694658191,1.001071377910692,1.1048452909157196
supplementary_quadratic,like_x_mentism,-0.06937611313067038,0.02384018931974162,-2.9100487500416494,0.0036137238464760807,0.9329757096650474,-0.1161020255819804,-0.022650200679360355,0.890384376678995,0.9776043893218656
supplementary_quadratic,difficulty_c,-0.02588620354852293,0.07142325174771842,-0.3624338421325076,0.7170278537178019,0.9744459717933763,-0.16587320463278848,0.11410079753574263,0.8471536425370054,1.120865099630212
supplementary_quadratic,difficulty_c_sq,0.0009477122814450959,0.046125965135203346,0.02054617781258742,0.9836076752720816,1.000948161502629,-0.08945751813570367,0.09135294269859386,0.9144271108676117,1.095655640682929
