model,n,df_model,logLik,AIC,BIC,alpha_est,LR_chi2_vs_primary,df_difference,p_LR_vs_primary
primary,100,3,-377.7432003035101,765.4864006070202,778.5122515369607,0.7251266303082117,,0,
primary_plus_linear_difficulty,100,4,-377.6735125114825,767.347025022965,782.9780461388935,0.7241088455632626,0.13937558405518757,1,0.7089025568989977
primary_plus_high_difficulty,100,4,-377.6854091202804,767.3708182405608,783.0018393564893,0.7243190253275443,0.11558236645942088,1,0.7338760572391703
primary_plus_difficulty_hinge,100,4,-377.69270970040367,767.3854194008073,783.0164405167359,0.7244081470293812,0.10098120621285034,1,0.7506553105328894
